,Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,full_address,gcode,lat,long
199581,18464,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2002-08-21,Parts per billion,21.217391,37.0,8,35,Parts per million,0.031333,0.048,12,41,Parts per billion,1.642857,4.0,11,,Parts per million,0.213043,0.8,7,,"3648 N. LONG BEACH BLVD., LONG BEACH, Long Beach, California","Long Beach Boulevard, North Long Beach, Long Beach, Los Angeles County, California, 90805, United States",33.8628048,-118.19938
1345518,15682,6,19,11,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,2013-03-16,Parts per billion,8.46087,17.2,0,16,Parts per million,0.030208,0.046,11,39,Parts per billion,0.314286,0.4,11,,Parts per million,0.249087,0.34,6,,"3727 N FIRST ST, FRESNO, Fresno, California","North First Street, Fresno, Fresno County, California, 93720, United States",36.8541531,-119.7748482
98342,6696,6,13,1002,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,2001-12-02,Parts per billion,3.826087,6.0,2,6,Parts per million,0.03025,0.036,10,31,Parts per billion,1.090909,2.0,5,3.0,Parts per million,0.178261,0.3,0,,"5551 BETHEL ISLAND RD, Bethel Island, California","Bethel Island Road, Bethel Island, Contra Costa County, California, 94511, United States",38.0118235,-121.6410769
1589896,125484,48,453,14,3724 North Hills Dr,Texas,Travis,Austin,2014-02-20,Parts per billion,2.183333,4.8,8,4,Parts per million,0.031083,0.041,13,38,Parts per billion,0.225,0.4,8,,Parts per million,0.070833,0.1,0,1.0,"3724 North Hills Dr, Austin, Texas","3724, North Hills Drive, Northwest Hills, Austin, Travis County, Texas, 78731, United States",30.354257,-97.760073
1537729,73317,23,3,1100,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Maine,Aroostook,Presque Isle,2014-05-20,Parts per billion,0.952632,3.3,5,3,Parts per million,0.021882,0.025,8,23,Parts per billion,-0.036842,0.0,1,0.0,Parts per million,0.136167,0.185,5,,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769, Presque Isle, Maine","Micmac Health Department, 8, Northern Road, Presque Isle, Aroostook County, Maine, 04769, United States",46.6969441,-68.033519
272639,91522,48,141,37,250 Rim Rd,Texas,El Paso,El Paso,2002-05-30,Parts per billion,28.833333,89.0,7,88,Parts per million,0.02725,0.057,11,48,Parts per billion,0.333333,6.0,7,9.0,Parts per million,0.454167,3.0,7,,"250 Rim Rd, El Paso, Texas","250, Rim Road, El Paso, El Paso County, Texas, 79902, United States",31.76576137751345,-106.50458794836213
927483,63251,23,5,29,"356 State Street, Portland,  Maine",Maine,Cumberland,Portland,2009-12-21,Parts per billion,10.041667,20.0,7,19,Parts per million,0.024083,0.03,19,25,Parts per billion,7.8125,14.0,2,,Parts per million,0.295238,0.4,7,,"356 State Street, Portland,  Maine, Portland, Maine","356, State Street, Parkside, Portland, Cumberland County, Maine, 04101, United States",43.6594961,-70.2695846557191
117491,25845,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,2001-03-31,Parts per billion,12.695652,19.0,10,18,Parts per million,0.050083,0.064,11,64,Parts per billion,4.9,14.0,8,,Parts per million,0.669565,1.0,9,,"80 E. 'J' ST., CHULA VISTA, Chula Vista, California","80, East J Street, Chula Vista, San Diego County, California, 91910, United States",32.631695439515205,-117.0592264809439
621289,92823,51,59,1005,6507 COLUMBIA PIKE,Virginia,Fairfax,Annandale,2006-06-05,Parts per billion,15.541667,39.0,20,37,Parts per million,0.020333,0.031,10,26,Parts per billion,2.75,9.0,8,13.0,Parts per million,0.6625,1.0,21,,"6507 COLUMBIA PIKE, Annandale, Virginia","Fairfax County Police Station Number 4, 6507, Columbia Pike, Forest Hills, Annandale, Fairfax County, Virginia, 22003, United States",38.837387,-77.1641107
1501077,36665,6,71,2002,"14360 ARROW BLVD., FONTANA",California,San Bernardino,Fontana,2014-03-24,Parts per billion,21.308696,32.7,17,30,Parts per million,0.025833,0.038,11,35,Parts per billion,0.0,0.0,2,,Parts per million,0.220833,0.3,15,3.0,"14360 ARROW BLVD., FONTANA, Fontana, California","Arrow Boulevard, Fontana, San Bernardino County, California, 92336, United States",34.0993451,-117.4444898
100409,8763,6,13,3001,"583 W. 10TH ST., PITTSBURG",California,Contra Costa,Pittsburg,2001-05-05,Parts per billion,9.565217,16.0,18,15,Parts per million,0.044625,0.057,9,48,Parts per billion,3.214286,6.3,8,,Parts per million,0.5,0.6,20,7.0,"583 W. 10TH ST., PITTSBURG, Pittsburg, California","583, West 10th Street, Pittsburg, Contra Costa County, California, 94565, United States",38.029359823025345,-121.8955361058045
583449,54983,25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,2006-02-06,Parts per billion,12.863636,21.0,14,20,Parts per million,0.017417,0.02,12,17,Parts per billion,5.958333,8.0,23,11.0,Parts per million,0.486957,0.6,15,,"HARRISON AVE, Boston, Massachusetts","Harrison Avenue, Chinatown, Downtown Boston, Boston, Suffolk County, Massachusetts, 02111, United States",42.3522115,-71.0613169
